Name,Address,Municipality,Categories,Cuisine_Type,Rating,Rating_Band,Latitude,Longitude,Is_Halal,Is_Vegetarian,Is_Vegan,Has_Parking,Is_Family_Friendly,Is_Romantic,Has_Scenic_View,Has_Outdoor,Has_Wifi,Dominant_Topic,Topic_Label,Topic_1_Pct,Topic_2_Pct,Topic_3_Pct
Suerasa Nasi Kerabu,"Jalan Sultan Sulaiman, Kampung Ladang Padang Cicar, 20000 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Halal Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,Yes,No,No,Yes,No,2,Traditional Malay Food,50.01,29.48,12.71
Nr Cafe,,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,Yes,Yes,No,Yes,No,No,1,Overall Dining Experience,63.59,25.48,8.61
Restoran Asia Signature,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,Yes,No,Yes,Yes,No,1,Overall Dining Experience,67.89,20.65,6.36
Yuji Yakiniku,"1482 A, Jalan Budiman, Kampung Mengabang Tengah, 20400 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Japanese Restaurant,Japanese,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,No,No,No,5,Western & Fusion Food,51.95,29.38,13.6
Restoran Aroma Arab Global,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,Yes,No,No,Yes,No,No,No,No,5,Western & Fusion Food,63.21,24.4,6.56
Seoul Garden Buffet,"Lot L1-FB-KS, Paya Bunga Square, Lot PT 3313, Kdah 4785, Jalan Masjid Abidin, 65, Jalan Sultan Ismail, 20300 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Korean Restaurant,Korean,5.0,Excellent (≥4.5★),,,No,No,No,No,Yes,No,No,Yes,No,1,Overall Dining Experience,57.64,28.17,8.45
Restoran B'Beteng,,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,Yes,Yes,No,Yes,Yes,No,3,Location & Ambiance,63.61,23.47,8.82
Coffee Garden (Paya Bunga Square Utc),"Lot PK03, Kompleks Paya Bunga Square (UTC, 20100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Cafe,Cafe,5.0,Excellent (≥4.5★),,,No,No,No,No,Yes,No,Yes,Yes,No,1,Overall Dining Experience,66.79,18.29,10.62
Swees Thai Cuisine Restaurant,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,80.66,7.51,6.66
Mei Fong Curry Noodles,"178, Jalan Kampung Cina, Kampung Banggul, 20100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Noodle Shop,Malay,3.0,Good (≥3.0★),,,Yes,Yes,No,No,Yes,Yes,No,Yes,No,5,Western & Fusion Food,62.12,27.15,8.44
Northern Thai Cafe & Restaurant,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,Yes,No,No,No,No,No,Yes,No,6,Seafood & Local Snacks,66.15,24.87,5.95
Medan Selera Mualaf Macma,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,Yes,No,No,Yes,Yes,No,No,No,No,5,Western & Fusion Food,51.85,31.13,10.67
Nasi Ayam Legasi,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,Yes,No,No,No,No,2,Traditional Malay Food,63.43,29.39,3.31
Uncle Ng Restaurant,"Lot 4285, Jalan Sultan Zainal Abidin, 20000 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Chinese Restaurant,Chinese,4.0,Very Good (≥4.0★),,,No,Yes,No,Yes,No,Yes,Yes,Yes,No,6,Seafood & Local Snacks,51.67,35.41,9.3
Auntie Dayana'S,"Plaza perdana, Jalan Engku Sar, 20300 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,Yes,No,No,Yes,No,6,Seafood & Local Snacks,65.31,25.31,7.85
Yes Corner Japanese Restaurant,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,Yes,No,No,Yes,Yes,No,No,No,No,5,Western & Fusion Food,60.92,21.48,15.36
"Sri Aman Seafood Restaurant And Caterer. Hall Available For Edu-Training, Anniversary, Farewell","Jalan Tengku Ampuan Bariah, 21300 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Seafood Restaurant,Seafood,4.0,Very Good (≥4.0★),,,No,No,No,No,Yes,No,No,No,No,1,Overall Dining Experience,68.78,21.36,7.16
Adilroti,"Kios No. 3, Medan Selera, MBKT di bawah Jambatan Sultan Mahmud, Jalan Kuala Hiliran, Kampung Losong Haji Su, 21000 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Breakfast Restaurant,Cafe,5.0,Excellent (≥4.5★),,,No,No,No,Yes,No,No,No,No,No,5,Western & Fusion Food,56.22,26.37,12.51
Zie'S Corner,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,Yes,Yes,Yes,No,No,5,Western & Fusion Food,53.56,30.33,12.25
Bintang Laut Restaurant,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,Yes,No,Yes,Yes,No,4,Malay Review Sentiment,78.54,13.94,3.82
Restoran China Town,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,Yes,No,No,No,No,6,Seafood & Local Snacks,60.67,31.93,3.33
Golden Dragon Restaurant,,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,No,No,Yes,No,No,No,6,Seafood & Local Snacks,64.24,29.33,3.97
Thai Bbq Seafood,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,65.66,17.99,10.86
D'Penambang Floating Restaurant,,Kuala Terengganu,Restaurant,Other,2.0,Below Average (<3.0★),,,No,No,No,No,No,No,Yes,No,No,2,Traditional Malay Food,72.92,12.85,4.23
Kst Ikan Bakar Kuala Ibai,"Lot 1228, Jln Sekolah pusat, Taman Midah, 20400 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,No,Yes,Yes,No,No,1,Overall Dining Experience,63.06,24.12,8.81
Rhopi.Trg,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,Yes,No,No,No,No,No,No,No,6,Seafood & Local Snacks,53.4,32.33,9.52
4Fingers Crispy Chicken,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,Yes,No,No,No,No,No,No,No,1,Overall Dining Experience,71.75,18.47,4.67
"Kedai Air Buah Gelas Besar Terengganu ""Air Buah Pak San""",,Kuala Terengganu,Restaurant,Other,1.0,Below Average (<3.0★),,,No,No,No,Yes,No,No,No,No,No,6,Seafood & Local Snacks,56.18,26.35,10.77
Medan Ikan Bakar Kuala Ibai (Bawah Jambatan),"20400 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Seafood Restaurant,Seafood,5.0,Excellent (≥4.5★),,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,6,Seafood & Local Snacks,59.61,27.77,8.9
Mk Galaxy Restaurant,"20100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Chinese Restaurant,Chinese,4.0,Very Good (≥4.0★),,,No,Yes,Yes,No,No,No,No,No,No,1,Overall Dining Experience,71.94,18.46,6.06
368 Sam Hok Paet Thai Restaurant,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,Yes,No,No,No,No,No,No,Yes,No,6,Seafood & Local Snacks,71.62,20.64,4.82
Naj D' Leaf,"59-B, Jalan Tok Lam, 20100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,Yes,No,No,No,No,No,6,Seafood & Local Snacks,61.74,25.49,8.97
Oden Oishi,"Pantai, 20400 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,3.0,Good (≥3.0★),,,No,No,No,Yes,No,No,Yes,No,No,4,Malay Review Sentiment,75.81,15.28,4.04
Salaza & Sons Bike Cafe,"Kiosk 1,2,3 & 4,Tmn Awam Batu Buruk, 20400 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,Yes,No,Yes,Yes,No,5,Western & Fusion Food,61.5,27.19,8.64
Kd Fried Chicken ( Kdfc ),"58, Kampung Duyung Seberang Takir, 21300 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,1.0,Below Average (<3.0★),,,No,No,No,Yes,Yes,No,Yes,No,No,1,Overall Dining Experience,65.7,22.09,9.32
Sejati Chinese Mix Rice,"Kampung Wakaf Tembesu, 21300 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,Yes,No,Yes,No,No,No,No,No,6,Seafood & Local Snacks,71.93,19.34,4.36
Straits Restaurant,"107, Jalan Petani, Kampung Nesan Empat, 20000 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,69.9,21.07,5.18
Restoran Chuan Kee,"11, Jalan Kota Lama, 20300 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,Yes,No,Yes,No,No,5,Western & Fusion Food,63.82,26.28,7.82
T-Homemade Cafe,,Kuala Terengganu,Restaurant,Other,3.0,Good (≥3.0★),,,No,No,No,No,No,No,No,No,No,6,Seafood & Local Snacks,62.46,26.07,10.22
One Cafe,"No 1, Tingkat Bawah, Wisma Armon, Jln Kamaruddin, 20400 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Western Restaurant,Western,2.0,Below Average (<3.0★),,,No,No,No,No,Yes,No,No,No,No,1,Overall Dining Experience,83.54,5.33,3.34
Restoran Hafeez,"1, Jalan Engku Pengiran Anom 2, 20300 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,Yes,No,No,No,No,5,Western & Fusion Food,66.38,24.26,6.37
Amki Cafe - Seberang Takir,"Hadapan Pejabat Perikanan, PT41119, Jalan Fikri, Taman Takir Perdana, 21300 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Cafe,Cafe,5.0,Excellent (≥4.5★),,,No,No,No,Yes,Yes,No,Yes,No,No,5,Western & Fusion Food,68.93,21.22,5.96
Aijaa Kitchen X Ayin Dine,"98, Jalan Banggol, 20100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Family Restaurant,Family,3.0,Good (≥3.0★),,,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,72.01,18.6,4.8
Kedai Makan Al-Hijrah Oasis,"2131 B, Jalan Pasir Panjang, Kampung Bukit Bayas, 21100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Malaysian Restaurant,Malay,4.0,Very Good (≥4.0★),,,Yes,No,No,No,No,No,No,Yes,No,5,Western & Fusion Food,65.37,19.3,10.89
Amz Seafood,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,1,Overall Dining Experience,53.22,28.96,12.7
Dee Dee Restaurant,"1-0, Jalan Hiliran, 20300 Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,No,No,No,6,Seafood & Local Snacks,61.43,28.83,6.48
Uncle Chua Signature (Pulau Warisan),,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,Yes,No,Yes,Yes,Yes,No,No,No,5,Western & Fusion Food,57.35,23.87,15.32
Concept Cafe,,Kuala Terengganu,Restaurant,Other,2.0,Below Average (<3.0★),,,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,58.28,16.04,7.93
Restoran Dar Al Yaman,"Jalan Bandar Baru, Bandar Baru, 21100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,No,No,No,3,Location & Ambiance,71.52,19.38,5.94
Restoran Mat Kedai Binjai,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,No,No,No,Yes,No,6,Seafood & Local Snacks,63.04,27.92,6.29
Roselle,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,Yes,No,No,1,Overall Dining Experience,67.6,24.94,2.24
Bumbu Babah,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,Yes,No,No,No,No,Yes,No,No,1,Overall Dining Experience,65.91,19.36,7.17
Chuk Lim Vege Restaurant,"37, Jalan Syed Zain, 20300 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Vegetarian Restaurant,Vegetarian,5.0,Excellent (≥4.5★),,,No,Yes,Yes,No,No,No,No,No,No,5,Western & Fusion Food,73.67,19.29,2.3
The Pertama Steak & Sushi House,,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,No,Yes,No,No,No,No,1,Overall Dining Experience,80.06,12.42,2.25
Terradala Museum Cafe,"77A, Jalan Sultan Sulaiman, 20000 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Cafe,Cafe,5.0,Excellent (≥4.5★),,,No,No,No,No,Yes,No,Yes,Yes,No,6,Seafood & Local Snacks,61.62,27.77,6.7
The Beach Food Cafe,"No3 Bazaar MBKT jalan Kubang badak, Kampung Tok Jembal, 21300 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,No,No,Yes,Yes,No,5,Western & Fusion Food,57.12,27.98,12.25
Hoho Place Restaurant,"20100, Lot PT3759, Jalan Bandar, Kampung Banggul, 20100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Chinese Restaurant,Chinese,5.0,Excellent (≥4.5★),,,No,Yes,No,No,Yes,No,No,Yes,No,5,Western & Fusion Food,63.5,25.79,7.78
Restoran Rafidah,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,Yes,No,No,5,Western & Fusion Food,70.51,21.93,2.69
Mike 2 Seafood Restaurant,"226, Jalan Kampung Cina, 21000 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Seafood Restaurant,Seafood,5.0,Excellent (≥4.5★),,,No,No,No,No,No,Yes,No,No,No,1,Overall Dining Experience,62.48,25.6,7.7
Nasi Kerabu Warisan Nusantara,"Jalan Ibrahim, Kampung Bukit Besar, 21100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,No,No,No,No,No,No,2,Traditional Malay Food,53.75,25.42,11.58
Warung Dalam Kenangan,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,No,No,Yes,No,No,1,Overall Dining Experience,71.91,17.79,5.78
Nasi Kukus Sempoi Alias 2,"Lrg Kapas, Gong Kapas, 21100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,Yes,No,Yes,Yes,No,No,No,No,6,Seafood & Local Snacks,55.59,26.78,11.98
The Mamak - Nasi Kandar,,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,Yes,No,No,No,No,No,No,No,No,6,Seafood & Local Snacks,51.7,27.53,15.58
D'Ganu Steamboat & Cafe,"Unnamed Road, Pulau Duyung Kecil, 20100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Family Restaurant,Family,5.0,Excellent (≥4.5★),,,No,No,No,No,Yes,No,Yes,No,No,6,Seafood & Local Snacks,57.19,26.3,14.33
Mr.Dakgalbi Ktcc Mall,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,Yes,No,No,1,Overall Dining Experience,59.66,24.83,11.22
Haji Pok Long Ict (Ikan Celup Tepung),,Kuala Terengganu,Restaurant,Other,3.0,Good (≥3.0★),,,No,No,No,Yes,No,No,Yes,No,No,6,Seafood & Local Snacks,64.38,19.55,9.93
A&W Pantai Batu Buruk,"Jalan Pantai Batu Buruk, 20400 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Fast Food Restaurant,Fast Food,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,Yes,No,No,1,Overall Dining Experience,65.38,20.54,9.18
Kedai Makang Belagoangin,"Kampung Pancur, 21020 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Brunch Restaurant,Cafe,4.0,Very Good (≥4.0★),,,No,No,No,Yes,Yes,No,No,No,No,1,Overall Dining Experience,51.01,28.75,14.68
Woodfire,"WOODFIRE MAYANG MALL, LOT NO L3-36 AND KIOSK NO L3-K2 THIRD FLOOR, Jalan Sultan Zainal Abidin, Kampung Tanjung, 20000 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Hamburger Restaurant,Western,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,Yes,No,No,5,Western & Fusion Food,66.3,29.31,1.66
"Beranda Restaurant, Duyong Marina & Resort",,Kuala Terengganu,Restaurant,Other,3.0,Good (≥3.0★),,,No,No,No,No,Yes,No,Yes,No,Yes,3,Location & Ambiance,73.02,19.13,2.3
Kak Pah Nasi Dagang,"Gerai 30, Pantai Batu Burok, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,No,No,Yes,No,No,6,Seafood & Local Snacks,58.41,26.8,9.21
Mcdonald'S Kuala Terengganu Dt,"Lot 3540, Jalan Sultan Mohammad, Padang Hiliran, 21100 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Fast Food Restaurant,Fast Food,2.0,Below Average (<3.0★),,,No,No,No,No,No,Yes,No,Yes,No,1,Overall Dining Experience,64.52,25.23,6.6
D'Suasane Ibai Restaurant,,Kuala Terengganu,Restaurant,Other,3.0,Good (≥3.0★),,,No,No,No,No,Yes,No,Yes,No,No,1,Overall Dining Experience,69.39,20.2,6.37
Sedapdough Pizza,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,60.98,16.22,10.58
Lagenda Restaurant At Raia Hotel & Convention Centre,"Jalan Lapangan Terbang, Kampung Telaga Batin, 21300 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,Yes,No,No,Yes,No,3,Location & Ambiance,61.56,22.78,6.3
Ah Hong Homemade (Ah Hong Cafe),,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,No,Yes,No,No,No,No,3,Location & Ambiance,62.14,20.72,12.46
Deelight Restaurant,"Batu 3 setengah, Kampung Wakaf Beruas, 21070 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,No,Yes,No,5,Western & Fusion Food,69.82,23.76,3.9
Indian Food,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,66.57,22.9,3.07
Amirul Thai & Malay Restaurant,,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,Yes,No,No,No,No,No,1,Overall Dining Experience,48.3,29.98,16.74
Mare Nero - The Taaras Redang,"Peti Surat 126, Main Post Office, 20928 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Italian Restaurant,Italian,4.0,Very Good (≥4.0★),,,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,60.04,20.83,11.56
Lucky Star Kopitiam,,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,Yes,No,No,Yes,Yes,No,No,No,No,5,Western & Fusion Food,76.81,17.87,3.42
Jala Mas Coffee House,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,81.85,11.16,2.06
Samsul Racha Tomyam Ala Thai,"Kampung Batu Enam, 21060 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,Yes,No,No,No,No,6,Seafood & Local Snacks,71.78,13.08,9.33
Nasi Kukus Umira,,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,74.34,19.83,2.14
Kedai Kopi Rong Shu Xia,,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,No,No,No,No,No,No,6,Seafood & Local Snacks,66.33,24.44,5.63
Taman Tamadun Islam ( Tti Management Sdn Bhd ),"Pulau Wan Man Losong PanglimaPerang, 21000 Kuala Terengganu, Terengganu, Malaysia",Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,Yes,Yes,No,Yes,Yes,No,3,Location & Ambiance,66.96,21.88,8.93
Restaurant Teck Lai,,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,No,Yes,No,No,No,No,1,Overall Dining Experience,68.9,20.51,6.28
Perniagaan Nasi Minyak Tuan (Restaurant And Catering Services),,Kuala Terengganu,Restaurant,Other,5.0,Excellent (≥4.5★),,,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,41.95,37.39,11.35
Ben Fishball Noodle,,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,Yes,No,Yes,No,No,No,6,Seafood & Local Snacks,57.75,28.05,8.93
Nr Cafe Pata,,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),,,No,No,No,Yes,Yes,No,Yes,No,No,1,Overall Dining Experience,57.86,31.19,8.27
Kedai Makan N Surprise,,Kampung Rhu Muda,Restaurant,Other,5.0,Excellent (≥4.5★),5.1885091,103.2222308,No,No,No,No,No,No,No,No,No,1,Overall Dining Experience,72.68,15.18,3.66
Restoran Lempeng,,Marang,Malaysian Restaurant,Malay,5.0,Excellent (≥4.5★),5.2460379,103.1865342,Yes,No,No,No,No,No,Yes,No,No,3,Location & Ambiance,57.24,23.08,11.49
Merchang Station (New Owner),,Kampung Pulau Rusa,Restaurant,Other,4.0,Very Good (≥4.0★),5.052857299999999,103.287243,No,No,No,No,No,No,Yes,No,No,1,Overall Dining Experience,56.82,28.33,8.78
"D'Rhu Bayu Seafood Restaurant, Marang, Terengganu.",,Kuala Terengganu,Restaurant,Other,4.0,Very Good (≥4.0★),5.1748185,103.2287983,No,No,No,Yes,Yes,No,Yes,No,Yes,6,Seafood & Local Snacks,62.42,24.71,7.85
D'Besi Ikan Celup Tepung,,Marang,Restaurant,Other,4.0,Very Good (≥4.0★),5.2052162,103.2079442,No,No,No,Yes,No,No,Yes,Yes,No,6,Seafood & Local Snacks,62.52,23.86,8.03
Warung D Permata,,Kampung Ru Muda,Restaurant,Other,4.0,Very Good (≥4.0★),5.1795603,103.2248656,No,No,No,No,No,No,No,No,No,4,Malay Review Sentiment,76.27,9.89,4.09
Warung Che Din,,No Lot 1305 Jln Wakaf Tapai Kpg,Family Restaurant,Family,3.0,Good (≥3.0★),5.165207,103.1881755,No,No,No,Yes,No,No,Yes,No,No,1,Overall Dining Experience,65.98,20.62,6.31
